iter	Passed	Remaining
551	12928	10492
552	12957	10473
553	12986	10454
554	13014	10435
555	13044	10416
556	13072	10396
557	13102	10379
558	13133	10360
559	13161	10340
560	13189	10321
561	13216	10300
562	13245	10281
563	13273	10260
564	13301	10241
565	13328	10220
566	13357	10201
567	13385	10180
568	13412	10159
569	13450	10147
570	13479	10127
571	13504	10104
572	13537	10088
573	13566	10068
574	13597	10050
575	13627	10031
576	13659	10013
577	13690	9995
578	13716	9973
579	13741	9950
580	13774	9934
581	13815	9922
582	13852	9908
583	13887	9892
584	13922	9876
585	13955	9859
586	13990	9843
587	14032	9832
588	14065	9815
589	14097	9796
590	14129	9778
591	14162	9760
592	14194	9742
593	14224	9722
594	14253	9701
595	14286	9683
596	14316	9664
597	14349	9646
598	14381	9627
599	14412	9608
600	14458	9598
601	14497	9584
602	14552	9580
603	14601	9573
604	14643	9560
605	14692	9552
606	14730	9537
607	14766	9520
608	14806	9506
609	14843	9490
610	14872	9468
611	14924	9461
612	14954	9441
613	14985	9420
614	15017	9401
615	15048	9380
616	15102	9375
617	15167	9375
618	15220	9368
619	15264	9355
620	15305	9341
621	15342	9323
622	15377	9305
623	15418	9290
624	15461	9276
625	15500	9260
626	15532	9240
627	15570	9223
628	15608	9206
629	15650	9191
630	15683	9171
631	15716	9151
632	15774	9145
633	15811	9127
634	15848	9109
635	15885	9091
636	15912	9068
637	15946	9047
638	15985	9031
639	16021	9011
640	16052	8990
641	16091	8973
642	16120	8950
643	16150	8927
644	16180	8905
645	16208	8881
646	16236	8858
647	16265	8835
648	16293	8812
649	16337	8797
650	16362	8772
651	16392	8749
652	16424	8727
653	16454	8705
654	16485	8683
655	16518	8662
656	16557	8643
657	16603	8629
658	16649	8615
659	16688	8597
660	16736	8583
661	16779	8567
662	16830	8554
663	16871	8537
664	16900	8513
665	16935	8493
666	16967	8471
667	16995	8446
668	17021	8421
669	17053	8399
670	17082	8375
671	17109	8351
672	17136	8326
673	17164	8302
674	17192	8278
675	17219	8253
676	17250	8230
677	17277	8205
678	17304	8180
679	17334	8157
680	17361	8132
681	17386	8106
682	17419	8084
683	17461	8067
684	17508	8051
685	17551	8033
686	17601	8019
687	17640	7999
688	17674	7977
689	17711	7957
690	17747	7936
691	17774	7911
692	17814	7891
693	17845	7868
694	17875	7844
695	17899	7818
696	17929	7794
697	17959	7770
698	17986	7745
699	18014	7720
700	18053	7700
701	18084	7676
702	18115	7653
703	18147	7630
704	18177	7606
705	18211	7583
706	18245	7561
707	18281	7540
708	18316	7517
709	18343	7492
710	18376	7469
711	18409	7446
712	18442	7423
713	18474	7400
714	18510	7378
715	18545	7356
716	18577	7332
717	18613	7310
718	18645	7286
719	18674	7262
720	18709	7240
721	18754	7221
722	18788	7198
723	18816	7173
724	18849	7149
725	18889	7129
726	18929	7108
727	18975	7089
728	19016	7069
729	19058	7049
730	19100	7028
731	19141	7008
732	19178	6986
733	19220	6965
734	19255	6942
735	19300	6922
736	19333	6899
737	19365	6874
738	19397	6850
739	19430	6826
740	19466	6804
741	19501	6780
742	19536	6757
743	19565	6732
744	19596	6707
745	19637	6686
746	19670	6662
747	19706	6638
748	19756	6620
749	19793	6597
750	19829	6574
751	19860	6549
752	19903	6528
753	19933	6503
754	19964	6478
755	19992	6452
756	20020	6426
757	20053	6402
758	20085	6377
759	20114	6352
760	20143	6326
761	20177	6302
762	20211	6278
763	20248	6254
764	20279	6229
765	20307	6203
766	20339	6178
767	20370	6153
768	20398	6127
769	20426	6101
770	20458	6076
771	20494	6052
772	20530	6029
773	20560	6003
774	20615	5985
775	20664	5965
776	20710	5943
777	20758	5923
778	20797	5900
779	20831	5875
780	20864	5850
781	20900	5826
782	20935	5801
783	20965	5776
784	20999	5751
785	21034	5727
786	21067	5701
787	21097	5675
788	21132	5651
789	21164	5625
790	21200	5601
791	21230	5575
792	21268	5551
793	21303	5527
794	21348	5504
795	21429	5491
796	21452	5464
797	21473	5435
798	21496	5407
799	21518	5379
800	21541	5351
801	21564	5323
802	21588	5296
803	21611	5268
804	21634	5240
805	21659	5213
806	21681	5185
807	21703	5157
808	21725	5129
809	21747	5101
810	21768	5073
811	21790	5045
812	21812	5017
813	21834	4989
814	21856	4961
815	21880	4933
816	21903	4906
817	21926	4878
818	21947	4850
819	21972	4823
820	22001	4796
821	22025	4769
822	22048	4741
823	22069	4713
824	22092	4686
825	22114	4658
826	22137	4630
827	22159	4603
828	22182	4575
829	22204	4547
830	22227	4520
831	22249	4492
832	22271	4464
833	22293	4437
834	22314	4409
835	22336	4381
836	22358	4354
837	22380	4326
838	22403	4299
839	22425	4271
840	22447	4243
841	22469	4216
842	22491	4188
843	22513	4161
844	22535	4133
845	22558	4106
846	22581	4079
847	22604	4051
848	22628	4024
849	22650	3997
850	22671	3969
851	22695	3942
852	22717	3915
853	22740	3887
854	22762	3860
855	22783	3832
856	22805	3805
857	22827	3777
858	22847	3750
859	22869	3723
860	22891	3695
861	22913	3668
862	22935	3641
863	22957	3613
864	22979	3586
865	23001	3559
866	23024	3532
867	23046	3504
868	23068	3477
869	23090	3450
870	23112	3423
871	23135	3395
872	23157	3368
873	23179	3341
874	23201	3314
875	23222	3287
876	23245	3260
877	23267	3233
878	23289	3205
879	23310	3178
880	23333	3151
881	23355	3124
882	23376	3097
883	23400	3070
884	23422	3043
885	23444	3016
886	23466	2989
887	23490	2962
888	23513	2935
889	23536	2909
890	23559	2882
891	23583	2855
892	23607	2828
893	23630	2801
894	23653	2774
895	23675	2748
896	23697	2721
897	23718	2694
898	23740	2667
899	23766	2640
900	23790	2614
901	23814	2587
902	23837	2560
903	23860	2533
904	23882	2506
905	23904	2480
906	23927	2453
907	23950	2426
908	23972	2399
909	23999	2373
910	24025	2347
911	24048	2320
912	24071	2293
913	24095	2267
914	24118	2240
915	24141	2213
916	24164	2187
917	24187	2160
918	24209	2133
919	24232	2107
920	24256	2080
921	24279	2054
922	24302	2027
923	24326	2000
924	24348	1974
925	24369	1947
926	24391	1920
927	24414	1894
928	24438	1867
929	24461	1841
930	24483	1814
931	24507	1788
932	24529	1761
933	24552	1734
934	24575	1708
935	24597	1681
